HMM_ID	Gene	Pathway	Type	Priority	HMM_Variant	New_Pathway
7Mjdy	TS_hdC	5(hm)dY	Marker		200N&192D;200N&192N;200N&166L/N/I;200N&166D/E;200N&166D/E&192D;200D&192D;200D&192N;200D&192D&166L/N/I;200D&166D/E;200D&192D&166D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
7nsp	TS_hdC	5(hm)dY	Marker		435N&427D;435N&427N;435N&401L/N/I;435N&401D/E;435N&401D/E&427D;435D&427D;435D&427N;435D&427D&401L/N/I;435D&401D/E;435D&427D&401D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
7ZUDO	TS_hdC	5(hm)dY	Marker		184N&176D;184N&176N;184N&149L/N/I;184N&149D/E;184N&149D/E&176D;184D&176D;184D&176N;184D&176D&149L/N/I;184D&149D/E;184D&176D&149D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
830e8	TS_hdC	5(hm)dY	Marker		382N&374D;382N&374N;382N&347L/N/I;382N&347D/E;382N&347D/E&374D;382D&374D;382D&374N;382D&374D&347L/N/I;382D&347D/E;382D&374D&347D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8fuTr	TS_hdC	5(hm)dY	Marker		267N&259D;267N&259N;267N&199L/N/I;267N&199D/E;267N&199D/E&259D;267D&259D;267D&259N;267D&259D&199L/N/I;267D&199D/E;267D&259D&199D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
13pd0	TS_hmdC	5(hm)dY	Marker		183N&175D;183N&175N;183N&149L/N/I;183N&149D/E;183N&149D/E&175D;183D&175D;183D&175N;183D&175D&149L/N/I;183D&149D/E;183D&175D&149D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
1HJf8	TS_hmdC	5(hm)dY	Marker		185N&177D;185N&177N;185N&146L/N/I;185N&146D/E;185N&146D/E&177D;185D&177D;185D&177N;185D&177D&146L/N/I;185D&146D/E;185D&177D&146D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
1Iceb	TS_hmdC	5(hm)dY	Marker		340N&332D;340N&332N;340N&306L/N/I;340N&306D/E;340N&306D/E&332D;340D&332D;340D&332N;340D&332D&306L/N/I;340D&306D/E;340D&332D&306D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
1khmw	TS_hmdC	5(hm)dY	Marker		176N&168D;176N&168N;176N&142L/N/I;176N&142D/E;176N&142D/E&168D;176D&168D;176D&168N;176D&168D&142L/N/I;176D&142D/E;176D&168D&142D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
1LGeC	TS_hmdC	5(hm)dY	Marker		177N&169D;177N&169N;177N&143L/N/I;177N&143D/E;177N&143D/E&169D;177D&169D;177D&169N;177D&169D&143L/N/I;177D&143D/E;177D&169D&143D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
2G9uR	TS_hmdC	5(hm)dY	Marker		189N&181D;189N&181N;189N&155L/N/I;189N&155D/E;189N&155D/E&181D;189D&181D;189D&181N;189D&181D&155L/N/I;189D&155D/E;189D&181D&155D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
38zWm	TS_hmdC	5(hm)dY	Marker		183N&175D;183N&175N;183N&149L/N/I;183N&149D/E;183N&149D/E&175D;183D&175D;183D&175N;183D&175D&149L/N/I;183D&149D/E;183D&175D&149D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
3aAWF	TS_hmdC	5(hm)dY	Marker		192N&184D;192N&184N;192N&157L/N/I;192N&157D/E;192N&157D/E&184D;192D&184D;192D&184N;192D&184D&157L/N/I;192D&157D/E;192D&184D&157D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
3fEqy	TS_hmdC	5(hm)dY	Marker		194N&185D;194N&185N;194N&158L/N/I;194N&158D/E;194N&158D/E&185D;194D&185D;194D&185N;194D&185D&158L/N/I;194D&158D/E;194D&185D&158D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
47S7y	TS_hmdC	5(hm)dY	Marker		480N&472D;480N&472N;480N&445L/N/I;480N&445D/E;480N&445D/E&472D;480D&472D;480D&472N;480D&472D&445L/N/I;480D&445D/E;480D&472D&445D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
4qG20	TS_hmdC	5(hm)dY	Marker		370N&362D;370N&362N;370N&336L/N/I;370N&336D/E;370N&336D/E&362D;370D&362D;370D&362N;370D&362D&336L/N/I;370D&336D/E;370D&362D&336D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
4ygqp	TS_hmdC	5(hm)dY	Marker		182N&174D;182N&174N;182N&148L/N/I;182N&148D/E;182N&148D/E&174D;182D&174D;182D&174N;182D&174D&148L/N/I;182D&148D/E;182D&174D&148D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
6HYDd	TS_hmdC	5(hm)dY	Marker		196N&188D;196N&188N;196N&162L/N/I;196N&162D/E;196N&162D/E&188D;196D&188D;196D&188N;196D&188D&162L/N/I;196D&162D/E;196D&188D&162D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
6S55l	TS_hmdC	5(hm)dY	Marker		184N&176D;184N&176N;184N&150L/N/I;184N&150D/E;184N&150D/E&176D;184D&176D;184D&176N;184D&176D&150L/N/I;184D&150D/E;184D&176D&150D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
7CCYX	TS_hmdC	5(hm)dY	Marker		182N&174D;182N&174N;182N&148L/N/I;182N&148D/E;182N&148D/E&174D;182D&174D;182D&174N;182D&174D&148L/N/I;182D&148D/E;182D&174D&148D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8n7AB	TS_hmdC	5(hm)dY	Marker		177N&169D;177N&169N;177N&141L/N/I;177N&141D/E;177N&141D/E&169D;177D&169D;177D&169N;177D&169D&141L/N/I;177D&141D/E;177D&169D&141D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8pvYc	TS_hmdC	5(hm)dY	Marker		344N&336D;344N&336N;344N&310L/N/I;344N&310D/E;344N&310D/E&336D;344D&336D;344D&336N;344D&336D&310L/N/I;344D&310D/E;344D&336D&310D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8tqAQ	TS_hmdC	5(hm)dY	Marker		172N&164D;172N&164N;172N&138L/N/I;172N&138D/E;172N&138D/E&164D;172D&164D;172D&164N;172D&164D&138L/N/I;172D&138D/E;172D&164D&138D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8yjwJ	TS_hmdC	5(hm)dY	Marker		182N&174D;182N&174N;182N&148L/N/I;182N&148D/E;182N&148D/E&174D;182D&174D;182D&174N;182D&174D&148L/N/I;182D&148D/E;182D&174D&148D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
fthQ	TS_hmdC	5(hm)dY	Marker		190N&181D;190N&181N;190N&155L/N/I;190N&155D/E;190N&155D/E&181D;190D&181D;190D&181N;190D&181D&155L/N/I;190D&155D/E;190D&181D&155D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
m955	TS_hmdC	5(hm)dY	Marker		172N&164D;172N&164N;172N&138L/N/I;172N&138D/E;172N&138D/E&164D;172D&164D;172D&164N;172D&164D&138L/N/I;172D&138D/E;172D&164D&138D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
14xHT	TS_hmdU	5(hm)dY	Marker		231N&223D;231N&223N;231N&197L/N/I;231N&197D/E;231N&197D/E&223D;231D&223D;231D&223N;231D&223D&197L/N/I;231D&197D/E;231D&223D&197D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
6RktY	TS_hmdU	5(hm)dY	Marker		182N&174D;182N&174N;182N&148L/N/I;182N&148D/E;182N&148D/E&174D;182D&174D;182D&174N;182D&174D&148L/N/I;182D&148D/E;182D&174D&148D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
8FQmZ	TS_hmdU	5(hm)dY	Marker		184N&175D;184N&175N;184N&149L/N/I;184N&149D/E;184N&149D/E&175D;184D&175D;184D&175N;184D&175D&149L/N/I;184D&149D/E;184D&175D&149D/E	5(h)mdU;5hdU;canonical;5h(m)dU;5hmdU;5(h)mdC;5hdC;5mdC;5h(m)dC;5hmdC
